unique id,### [Term],#### [Definition],#### [Clarification],
026,Arbitration,A dispute resolution process in which a neutral third party makes a binding decision to resolve a conflict.,Used when mediation fails or when contracts mandate arbitration for legal conflicts.,
027,Artifacts,"Documents, templates, outputs, and deliverables produced throughout the project life cycle.","Artifacts include plans, reports, logs, and records that support project tracking and governance.",
028,Assumption,"A factor considered to be true or certain for planning purposes, without current proof.",Assumptions must be documented and managed because they can influence risk and outcomes.,
029,Asynchronous communication,Information exchange where participants do not interact in real-time.,"Examples include emails, document repositories, and recorded video updates; useful in distributed teams.",
030,Attitude,An individual’s mental and emotional outlook that influences behavior and interactions within a project.,"Positive attitudes foster collaboration and productivity, while negative attitudes can hinder progress.",
031,Audit,"A structured review to determine whether project activities comply with policies, processes, and procedures.","Audits assess effectiveness, adherence, and support continuous improvement within the organization.",
032,Authority,"The right to apply resources, make decisions, and give approvals on a project.",Typically defined in the project charter or organizational structure to ensure clarity.,
033,Autocratic,A leadership style where one person makes decisions without team input.,"Useful in urgent situations, but may reduce team engagement in the long term.",
034,Availability,The degree to which required resources are obtainable for use during a planned time period.,A key input in resource planning and scheduling decisions.,
035,Avoid,A risk response strategy where the team eliminates the threat or condition that causes the risk.,"May involve changing project plans, scope, or work to remove the risk entirely.",
036,Backlog,"A prioritized list of project work, features, or tasks maintained for execution.",Common in Agile projects to reflect what remains to be done and helps in sprint planning.,
037,Balanced scorecard,"A strategic management tool that evaluates performance from multiple perspectives including financial, customer, internal processes, and learning.",Helps align business activities to strategic goals and improve performance tracking.,
038,Baseline,The approved version of a plan used as a basis for comparison to actual results.,Changes to the baseline are controlled through integrated change control.,
039,BATNA,Best Alternative to a Negotiated Agreement — the most advantageous alternative if negotiations fail.,Used in procurement and conflict management to determine walk-away options.,
040,Behavioral analysis,The study of stakeholder or team behaviors to improve collaboration and communication.,Can be used to predict responses and tailor engagement strategies.,
041,Benchmarking,The process of comparing project practices or performance to those of other organizations to identify best practices.,Helps establish standards and continuous improvement targets.,
042,Benefits,The measurable gains or advantages realized from the implementation of project outcomes.,Can be tangible or intangible and are linked to strategic objectives.,
043,Benefits identification,The process of determining the intended value and outcomes a project or program will deliver.,Supports business case development and alignment with strategic goals.,
044,Benefits realization,"The process of tracking, reviewing, and ensuring benefits are achieved as planned.",Continues beyond project closure to ensure value delivery.,
045,Benefits register,A document listing all expected benefits of a project along with their planned realization timelines.,Used to monitor and ensure alignment with strategic goals.,
046,Bidding,The competitive process of submitting proposals or tenders to provide goods or services.,Used in procurement management to select the most qualified vendor or supplier.,
047,Blockers,Obstacles that prevent progress on a task or deliverable.,Commonly tracked in Agile teams during daily stand-ups to facilitate resolution.,
048,Bottom-up estimation,A technique where work is broken into smaller components and each is estimated individually.,Highly accurate but time-consuming; useful in detailed project planning.,
049,Brainstorming,A group creativity technique used to generate a large number of ideas for solution development.,"Encourages open idea sharing without judgment, often used in problem-solving or planning.",
050,Bruce Tuckman,"A psychologist known for developing the team development model: Forming, Storming, Norming, Performing, and Adjourning.",Used in project management to understand and support team dynamics over time.,
051,Budget,"The approved estimate for the project or any component, including all costs and contingencies.",Used as a baseline to compare against actual spending to manage financial performance.,
052,Budget at Completion,The total planned value or authorized budget for the project.,A key metric in earned value management used to evaluate project performance.,
053,Budget challenges,Difficulties or constraints in staying within planned financial limits.,"Can arise from scope changes, inaccurate estimates, or unforeseen costs.",
054,Buffer,Time or cost reserves used to manage uncertainty or risk in the schedule or budget.,Protects project deadlines from delays or variances in task performance.,
055,Burndown chart,A graphical representation showing work remaining over time in an Agile project.,Helps track progress toward sprint or release goals by visualizing completed tasks.,
056,Burnup chart,A visual tool that shows the amount of work completed against the total work scope.,"Unlike burndown charts, it shows progress and scope changes together.",
057,Business value,The net benefit a project or deliverable provides to an organization or stakeholder.,"Can be tangible (revenue) or intangible (customer satisfaction, market share).",
058,Buy-in,Agreement or commitment from stakeholders or team members to support a project or decision.,Critical for change adoption and smooth project implementation.,
059,Capacity planning,The process of determining the resources needed to meet project demands.,Ensures the team is not over- or under-utilized across the project timeline.,
060,Change control,"A process to manage changes to the project scope, schedule, or cost in a controlled manner.","Ensures changes are reviewed, approved, and documented appropriately.",
061,Change control board,"A formally chartered group responsible for reviewing, evaluating, and approving or rejecting change requests.",Ensures governance and alignment with project objectives before changes are implemented.,
062,Change impact,"The effect a proposed change has on project constraints like scope, schedule, cost, or quality.",Assessed before approval to prevent unintended consequences.,
063,Change log,A project document that records all change requests and their status throughout the project.,"Helps track the history, decisions, and implementation of changes.",
064,Change management,"A structured approach to transitioning individuals, teams, and organizations to a desired future state.","Focuses on stakeholder engagement, communication, and adoption of change.",
065,Change management plan,A component of the project management plan that defines how changes will be managed and controlled.,"Includes roles, responsibilities, workflows, and tools for handling changes.",
066,Change requests,"Formal proposals to modify any aspect of the project including scope, schedule, cost, or quality.",May originate from any stakeholder and require evaluation before implementation.,
067,Change response,The action taken after a change is identified and assessed.,"Can include approval, rejection, deferral, or escalation based on impact.",
068,Channels,The pathways through which communication flows in a project environment.,"Can be formal (reports, emails) or informal (chats, meetings).",
069,Check sheet,A tool used to collect data in real-time at the location where the data is generated.,Used in quality control to identify patterns or defects.,
070,Clarification,The process of ensuring that project information is fully understood by all stakeholders.,Helps avoid miscommunication and errors by confirming expectations.,
071,Classroom training,An instructor-led learning method delivered in a physical or virtual group setting.,"Used to develop skills, share knowledge, and align team understanding.",
072,Close phase,The process of finalizing all project activities across all process groups.,"Includes administrative closure, documentation, and stakeholder sign-off.",
073,Closure,"The formal end of a project or phase, where deliverables are accepted and contracts closed.",Ensures lessons learned are documented and resources released.,
074,Coaching,A development technique where a more experienced individual supports someone’s performance growth.,Often used in Agile environments to build self-organizing teams.,
075,Code of conduct,A set of rules outlining expected behaviors and responsibilities of project team members.,Promotes ethical behavior and professionalism within the team.,
076,Code of ethics,A document that defines acceptable ethical standards within an organization or profession.,"PMI’s Code of Ethics guides members in fairness, honesty, and respect.",
077,Cohesion,The degree to which team members work well together and remain united toward project goals.,Strong cohesion boosts collaboration and team performance.,
078,Collaborate,To work jointly with others to produce or create something in the project context.,"Collaboration leads to shared understanding, innovation, and stakeholder engagement.",
079,Collaboration,The act of multiple individuals or groups working together to achieve a common objective.,"Essential for cross-functional teams, especially in Agile and hybrid projects.",
080,Collaboration tools,Digital platforms or software that enable effective communication and teamwork among project members.,"Examples include Slack, MS Teams, Zoom, and shared document repositories.",
081,Collaborative,An approach where individuals or groups work jointly to achieve shared goals and resolve issues constructively.,"Promotes mutual respect, shared accountability, and increased innovation in projects.",
082,Collaborative negotiation,A negotiation technique where parties work together to reach a win-win outcome that satisfies all stakeholders.,Used to build long-term relationships and sustainable agreements.,
083,Colocation,The practice of placing team members in the same physical location to enhance communication and collaboration.,Used in traditional projects to encourage face-to-face interactions and faster decision-making.,
084,Commitment,An individual’s or team's dedication to the success of the project or task.,"Strong commitment supports project momentum, accountability, and motivation.",
085,Communication,The process of exchanging information between individuals or groups to convey meaning.,Effective communication is critical to stakeholder engagement and project success.,
086,Communication barriers,Obstacles that hinder the effective exchange of information.,"Can be physical, cultural, emotional, or semantic, and must be managed to avoid misunderstandings.",
087,Communication plan,A component of the project management plan that outlines how project information will be shared.,"Defines audience, frequency, formats, methods, and responsibilities for communication.",
088,Compete,A conflict resolution technique in which one party pursues their own concerns at the expense of others.,Effective in urgent situations but may harm relationships if overused.,
089,Competency,"A combination of skills, knowledge, and behaviors required to perform a role effectively.",Used in resource management and professional development planning.,
090,Competitive negotiation,A negotiation approach where each party seeks to maximize their own benefit.,"Often used in procurement to ensure the best price or terms, but may reduce collaboration.",
091,Complexity,A characteristic of a project with many interconnected parts or variables.,Increases uncertainty and requires adaptive planning and governance strategies.,
092,Compliance,"Conformance to requirements such as regulations, standards, and internal policies.",Ensures legal and organizational accountability throughout the project life cycle.,
093,Compromise,A conflict resolution technique where each party gives up something to reach a mutually acceptable solution.,Useful when time is limited or when both sides have equal power.,
094,Configuration management,A process to systematically manage changes to a product’s attributes or documentation.,Ensures integrity and traceability of deliverables and baseline elements.,
095,Conflict,"A disagreement between individuals or groups due to differing goals, opinions, or values.",Not inherently negative — can lead to innovation and growth if managed well.,
096,Conflict life cycle,The stages through which conflict develops and potentially escalates if unresolved.,Understanding the life cycle helps in early intervention and resolution.,
097,Conflict management,The process of handling conflict constructively to minimize disruption and maximize positive outcomes.,"Involves identifying, analyzing, and applying resolution strategies.",
098,Conflict resolution,Techniques used to resolve disagreements and restore collaboration.,"Includes methods such as collaborate, compromise, avoid, accommodate, and compete.",
099,Consensus,A group decision-making technique where all participants support or can live with the outcome.,Promotes ownership and buy-in but may take more time to reach agreement.,
100,Consequences,"The outcomes or effects resulting from decisions, actions, or events.",Can be positive or negative and are used in risk and change impact analysis.,
101,Consolidation,Combining multiple elements or data sources into a single unified view or plan.,"Used in reporting, budgeting, and schedule planning for clarity and control.",
102,Constraint,A limiting factor that affects the execution of a project or process.,"Common constraints include time, cost, scope, and resources.",
103,Constraints,Multiple limitations that must be considered during project planning and execution.,Affect flexibility in achieving objectives and must be managed proactively.,
104,Consulted,A RACI role designation for individuals who provide input or expertise before decisions are made.,They are not decision-makers but influence outcomes through consultation.,
105,Contest,"To formally challenge or dispute a decision, result, or action in a project context.","May occur in procurement, claims resolution, or contract enforcement.",
106,Contingency,A planned response or allocation of resources to address identified risks or uncertainties.,Helps maintain project stability despite unexpected events.,
107,Contingency reserve,Budget or time allocated for known-unknown risks within project scope.,Controlled by the project manager and used as part of risk response strategies.,
108,Continuous assessment,The ongoing evaluation of project performance and conditions to identify issues early.,Supports proactive decision-making and agile adaptation.,
109,Continuous improvement,"An ongoing effort to enhance processes, products, or services.",Used in quality management and Agile to boost efficiency and value.,
110,Contract,A formal agreement between two or more parties that defines obligations and deliverables.,Legally binding and used in procurement to manage vendor relationships.,
111,Contract types,"Categories of contracts that define how risk and responsibility are distributed between buyer and seller (e.g., fixed-price, cost-reimbursable, time and materials).","Think of shopping options: some items are a fixed price, others are pay-as-you-go like hiring a contractor who charges hourly.",
112,Contracts,"A legal agreement between two or more parties outlining the deliverables, obligations, and terms for services or products.","Like a rental agreement where both sides agree on rules, rent, and duration — but for business work.",
113,Control chart,A quality management tool that tracks performance metrics over time to identify process variations.,Like tracking your weight over weeks to spot when things go out of the normal healthy range.,
114,Control scope,The process of monitoring the status of the project and product scope and managing changes to the scope baseline.,Like sticking to a grocery list to avoid overspending — keeping the work focused and under control.,
115,Coordination,The integration of activities across people and teams to achieve smooth workflow and aligned efforts.,Similar to organizing a potluck: everyone brings a dish that fits together into one meal.,
116,Corrective action,An intentional activity that realigns project performance with the project management plan.,Like studying harder after getting a bad grade — you adjust your behavior to meet your goals.,
117,Cost baseline,"The approved version of the budget, used to compare actual costs throughout the project.","Like setting a vacation budget ahead of time, and checking receipts to stay on track.",
118,Cost estimation,The process of approximating the monetary resources needed to complete project activities.,Guessing how much groceries will cost before shopping — helps you plan better.,
119,Cost Performance Index,A measure of cost efficiency calculated as earned value divided by actual cost (CPI = EV/AC).,"If you planned to spend $100 and only spent $80 but got everything done, your cost efficiency is high.",
120,Cost Variance,The difference between the earned value and the actual cost (CV = EV - AC).,"If your renovation cost less than expected, that's positive cost variance — more bang for your buck.",
121,Cost variance,Same as above — CV = EV - AC — it reflects whether a project is over or under budget.,Like spending less than you expected on a party — it's a financial win.,
122,Cost-reimbursable,A type of contract where the seller is reimbursed for actual costs plus a fee for profit.,Imagine hiring a plumber who charges for time and materials plus a little extra for their effort.,
123,Crashing,A schedule compression technique that adds resources to critical path tasks to shorten duration.,Like pulling an all-nighter with friends to finish a group project faster — effective but costly.,
124,Critical path,The longest sequence of activities in a project that determines the shortest possible duration.,"If one thing gets delayed, the whole project is delayed — like waiting on the slowest person in a relay race.",89%20program%20evaluation%20and%20review.
125,Critical path method,A technique to identify and schedule project tasks that impact the project duration the most.,It’s like planning a road trip where missing one turn sets everything back — you track the key routes.,
126,Criticality,The degree to which an activity affects the project's end date based on its position in the schedule.,"If a single late task delays everything, it has high criticality — like a missing puzzle piece.",
127,Cultural awareness,Understanding and respecting cultural differences in a global or diverse project environment.,Like knowing not to shake hands in some cultures — it improves teamwork and reduces friction.,
128,Culture,"The shared values, beliefs, and behaviors that influence how people work and interact.","Company culture is like a personality — some are casual and creative, others are formal and rule-bound.",
129,Data analysis,"The process of examining, cleaning, and modeling data to discover useful information and support decision-making.",Like reviewing your bank statements to find where you overspend and make better choices.,
130,David McClelland,"A psychologist known for his theory of human motivation, emphasizing achievement, affiliation, and power as key drivers.",Learn more: https://en.wikipedia.org/wiki/David_McClelland,
131,Decision making,The process of selecting a course of action from multiple alternatives to achieve project objectives.,Like choosing what to eat for dinner when you have several options — you weigh the choices and decide.,
132,Decision rights,Defined authority over who can make which decisions within a project or organization.,Like knowing which parent decides on bedtime rules versus which decides on weekend plans.,
133,Decomposition,"A technique used to break down project deliverables into smaller, more manageable components.",Like breaking down a big chore list into smaller tasks — easier to handle step by step.,
134,Delegation,The assignment of responsibility and authority to another person to complete tasks.,Like asking a friend to water your plants while you’re away — you trust them to do it.,
135,Deliverable,"Any unique and verifiable product, result, or service produced to complete a process or project.",Like the cake you bake at the end of following a recipe — it’s the tangible result.,
136,Delivery,"The act of transferring a completed product, service, or result to the customer or end user.",Like getting a package delivered to your home after ordering online.,
137,Delivery options,"Alternative ways to provide a product, service, or result to the customer.","Like choosing between home delivery, in-store pickup, or express shipping when shopping.",
138,Democratic,A leadership style where decisions are made collectively with input from the group.,Like voting with friends on which movie to watch.,
139,Dependencies,Logical relationships between project activities where one task relies on another.,Like not being able to frost a cake until it has finished baking.,
140,Dependency,A single relationship where one activity relies on the output of another.,"For example, you can’t drive until you get a driver’s license.",
141,Development,"The process of creating, growing, or advancing project deliverables, team skills, or outcomes.",Like learning a new skill or improving over time with practice.,
142,Directive,An instruction issued with authority to guide project actions or decisions.,Like a teacher telling students exactly how to complete an assignment.,
143,Disagreement,A difference of opinion between stakeholders or team members.,"Like friends debating about where to eat dinner — not necessarily bad, just different views.",
144,DISC,"A personality assessment tool that categorizes behavior into Dominance, Influence, Steadiness, and Conscientiousness.","Like understanding if someone is more of a leader, a supporter, or detail-focused in a group.",
145,Distributive,A negotiation style focused on dividing fixed resources between parties (win-lose).,Like haggling at a flea market where one person’s gain is the other’s loss.,
146,Diversity,"The inclusion of individuals from various backgrounds, cultures, and perspectives within a team or project.","Like a potluck dinner where everyone brings food from their culture, making the meal richer.",
147,DMADV,"A Six Sigma methodology for creating new processes or products: Define, Measure, Analyze, Design, Verify.",Like designing a brand-new recipe from scratch and testing it until it’s perfect.,
148,DMAIC,"A Six Sigma methodology for improving existing processes: Define, Measure, Analyze, Improve, Control.",Like fixing a recipe that didn’t work the first time by tweaking ingredients step by step.,
149,Document control,"A system for managing, tracking, and storing project documents to ensure accuracy and consistency.",Like organizing important family documents in a labeled binder so nothing is lost.,
150,Documentation,"The recorded information that describes, explains, or justifies project processes and outcomes.",Like writing down your grandma’s recipe so it can be repeated and shared.,
151,Douglas McGregor,"A management theorist known for Theory X and Theory Y, describing different views of worker motivation.",Learn more: https://en.wikipedia.org/wiki/Douglas_McGregor,
152,Earned value,"A project performance measure that integrates scope, schedule, and cost to assess progress.","Like checking halfway through a road trip if you’re on time, within budget, and on the right route.",
153,Earned Value,Same as 'earned value' — it represents the value of work actually completed compared to the plan.,Like calculating how much of a puzzle is completed versus how much time and effort was spent.,
154,Emotional intelligence,"The ability to recognize, understand, and manage your own emotions and those of others.",Like calming yourself before an argument or helping a friend feel better after a bad day.,
155,Empathy,The ability to understand and share the feelings of another person.,Like comforting a friend by truly listening to their struggles.,
156,Empowerment,"The practice of giving team members the authority, resources, and confidence to make decisions.",Like letting kids choose what to wear — they feel ownership and pride.,
157,Engagement,"The level of involvement, commitment, and enthusiasm stakeholders or team members show toward a project.","Like fans cheering loudly at a game — the more engaged, the better the atmosphere.",
158,Engagement levels,The degree to which stakeholders or team members are actively involved and supportive.,Like some students paying full attention in class while others are distracted.,
159,Engagement strategies,Planned approaches to involve and motivate stakeholders in the project.,Like planning fun group activities to keep kids excited in class.,
160,Enhance,A risk response strategy used to increase the probability or impact of positive risks (opportunities).,Like giving extra effort to prepare for a job interview to increase your chances of success.,
161,Environment,"The conditions, internal and external, that influence a project’s execution and outcomes.",Like the weather affecting an outdoor event — it shapes how things play out.,
162,Environmental scanning,The process of gathering and analyzing information about external opportunities and threats that can impact the project.,Like checking the news before traveling to know about weather or political risks.,
163,Escalate,A risk response strategy where responsibility is transferred to a higher authority for resolution.,Like calling a manager when a customer issue is beyond your authority.,
164,Escalation,The process of raising an issue or risk to higher levels of management for attention or decision-making.,Like telling a teacher when classmates can’t agree on a group project decision.,
165,Escalation path,A predefined process that shows how and to whom issues should be escalated.,"Like a school rule that says first talk to your teacher, then the principal if the problem isn’t solved.",
166,Estimate at Completion,The forecasted total cost of the project based on performance to date (EAC).,Like predicting the total bill at a restaurant after ordering appetizers and drinks.,
167,Estimate to Complete,The expected cost needed to finish all remaining work in a project (ETC).,Like figuring out how much more money you need to finish grocery shopping.,
168,Estimation,"The process of approximating effort, time, or cost needed to complete project activities.",Like guessing how long it will take you to drive to work.,
169,Evaluation,The systematic assessment of project activities or deliverables to determine value or performance.,Like checking your test answers to see how well you did.,
170,Execution strategy,The planned approach that defines how project work will be carried out to achieve objectives.,Like planning the best route for a road trip before starting.,
171,Exit criteria,Conditions that must be met before a project or phase can be closed.,Like making sure your chores are done before going out to play.,
172,Expectation management,The process of aligning stakeholder expectations with project reality.,"Like telling your friends a road trip will take 6 hours, not 3, to avoid disappointment.",
173,Expectations,,,
174,Exploit,A risk response strategy to ensure an opportunity is realized.,Like applying early to a job to maximize your chance of being hired.,
175,External environment,,,
176,Facilitation,The process of guiding a group to achieve effective collaboration and decision-making.,Like a teacher leading a classroom discussion to keep it productive.,
177,Fast tracking,A schedule compression technique where activities are performed in parallel that were originally planned in sequence.,Like starting to frost a cake before it has fully cooled — risky but faster.,
178,Feedback,Information shared about performance or deliverables to improve future work.,Like a coach giving players tips after practice.,
179,Fight,A conflict management approach where opposing parties confront differences directly.,Like siblings arguing over TV remote control.,
180,Financial closure,"The process of completing all financial transactions, payments, and reconciliations at project close.",Like paying the final bills after moving out of an apartment.,
181,Fishbone diagram,A cause-and-effect diagram used to identify potential root causes of problems.,"Like brainstorming reasons why your car won’t start — dead battery, no fuel, or faulty starter.",
182,Five whys,A root cause analysis technique that involves asking 'why' repeatedly until the underlying cause is found.,Like asking why a toy broke until you find it was dropped too many times.,
183,Fixed-price,A contract type where payment is a set price regardless of the cost incurred by the seller.,Like buying a car at a sticker price — cost doesn’t change for the buyer.,
184,Flight,,,
185,Float,The amount of time an activity can be delayed without affecting the project end date.,Like having extra time before a train leaves — you can grab a coffee without missing it.,
186,Flowchart,A diagram showing the sequence of steps in a process or system.,Like a recipe showing the steps for cooking a dish.,
187,Forecasting,Predicting future project performance based on current data and trends.,Like predicting weather by looking at today’s sky and forecast reports.,
188,Forming,The first stage of team development where members get to know each other and roles are established.,Like students meeting for the first day of class and figuring out group dynamics.,
189,Frederick Herzberg,A psychologist known for the two-factor theory of motivation: hygiene factors and motivators.,Learn more: https://en.wikipedia.org/wiki/Frederick_Herzberg,
190,Frequency,The rate at which something occurs within a specified period of time.,Like how often you water plants each week.,
191,Gantt chart,A bar chart showing project activities against a timeline to visualize schedule progress.,Like a chore calendar showing what tasks must be done each day.,
192,Gaps analysis,The process of comparing current performance with desired performance to identify improvement needs.,Like realizing your grades are below your goal and figuring out what to study more.,
193,Geopolitical,Relating to the influence of geography and politics on international projects.,Like how global shipping delays affect product delivery timelines.,
194,Global projects,"Projects involving stakeholders, teams, or resources across multiple countries.",Like collaborating online with classmates around the world.,
195,Governance,"The framework of rules, practices, and processes that direct and control a project or organization.",Like house rules that everyone follows at home.,
196,Governance structure,"The organizational setup that defines roles, responsibilities, and decision-making processes for governance.",Like a school board managing teachers and principals.,
197,Ground rules,Agreed-upon guidelines that set expected behaviors for team interactions.,Like classroom rules about raising your hand before speaking.,
198,Growth,"The process of expanding capability, capacity, or maturity in project or organizational contexts.",Like a child learning to ride a bike — skills and confidence grow over time.,
199,Handover,The formal transfer of responsibility for deliverables from the project team to operations or stakeholders.,Like handing over house keys to a new tenant.,
200,Health and safety,The policies and practices ensuring the physical and mental well-being of project participants.,Like wearing helmets and seatbelts for protection while biking or driving.,
201,Herzberg,Frederick Herzberg’s motivation-hygiene theory distinguishes between factors that cause job satisfaction and those that cause dissatisfaction.,Learn more: https://en.wikipedia.org/wiki/Frederick_Herzberg,
202,Histogram,A quality management tool that uses a bar chart to show the frequency distribution of data.,"Like a chart showing how many times each grade (A, B, C) appeared in a class.",
203,Historical data,"Information from past projects used to inform estimates, risks, and planning in current projects.",Like checking last year’s utility bills to guess what you’ll spend this year.,
204,Hybrid,A project management approach combining predictive and adaptive (Agile) elements.,Like mixing meal prep (predictive) with spontaneous cooking (adaptive) for balance.,
205,Impact,"The effect of an event, risk, or decision on project objectives.",Like how rain impacts an outdoor wedding — some outcomes matter more than others.,
206,Impact analysis,"The process of evaluating the potential effects of a change, risk, or issue on project objectives.",Like thinking through what happens if you’re late to catch a flight — you might miss your vacation.,
207,Impediment log,A project document where obstacles or blockers to progress are recorded and tracked.,Like writing down reasons your car won’t start so you can troubleshoot each one.,
208,Impediments,Obstacles that slow down or stop progress in a project.,Like traffic jams that delay your commute.,
209,Implementation,The execution of plans to achieve project deliverables or organizational goals.,Like following through on a workout plan by actually going to the gym.,
210,Inclusion,"The practice of ensuring all individuals feel valued, respected, and engaged in a project or team.",Like inviting everyone to share their opinion during a group discussion.,
211,Incremental,"A development approach where deliverables are built in small, usable sections that add up over time.",Like reading a book chapter by chapter instead of all at once.,
212,Incremental delivery,The process of providing completed portions of a product step by step until the final product is delivered.,Like streaming a TV series episode by episode instead of waiting for the full release.,
213,Influence,"The ability to shape outcomes, decisions, or behaviors without direct authority.",Like convincing friends to see your favorite movie without forcing them.,
214,Influencing,"The act of guiding others’ attitudes, behaviors, or decisions through persuasion and relationship building.",Like encouraging coworkers to support your idea by explaining the benefits.,
215,Information distribution,The process of making project information available to stakeholders in a timely manner.,Like sending out a group text to keep friends updated on plans.,
216,Information management,"The collection, storage, and dissemination of project information to ensure accessibility and accuracy.",Like organizing family photos in labeled albums so they’re easy to find later.,
217,Information requirements,The specific information stakeholders need to perform their roles effectively.,Like asking your boss for your work schedule to plan your week.,
218,Informed,A RACI designation meaning the person is kept up to date about decisions or progress but is not directly involved.,Like parents being informed about school updates even if they aren’t on the PTA.,
219,Inspection,The process of examining work results to ensure they meet requirements and standards.,Like checking produce at the grocery store before buying it.,
220,Inspirational,A leadership trait where motivation and enthusiasm are fostered in others.,Like a coach giving a pep talk before a big game.,
221,Integration,The process of coordinating all project components to work together effectively.,Like combining different puzzle pieces to complete the picture.,
222,Integration management,"The processes and activities needed to identify, define, combine, and coordinate project elements.","Like being the conductor of an orchestra, ensuring all instruments play in harmony.",
223,Integrative,A negotiation approach focused on achieving win-win outcomes by expanding value for all parties.,Like sharing resources in a way that benefits everyone — a bigger pie instead of dividing the same one.,
224,Interactive communication,Multidirectional information exchange where participants actively engage.,Like a live video call where everyone talks and responds in real time.,
225,Intractable,A problem or conflict that is extremely difficult to resolve.,Like trying to untangle a massive knot in a string.,
226,Ishikawa diagram,A cause-and-effect diagram used to identify root causes of problems.,Also called a fishbone diagram; like brainstorming all possible reasons a car won’t start.,
227,ISO,"The International Organization for Standardization, which develops global standards to ensure quality, safety, and efficiency.",Learn more: https://www.iso.org,
228,Isolation,"The state of being separated from others, often reducing collaboration and effectiveness.",Like working alone in a locked room without interaction.,
229,Issue,A current problem or obstacle that requires resolution in the project.,Like discovering your phone battery is dead when you need to make an urgent call.,
230,Issue log,A project document where all project issues are recorded and tracked until resolution.,Like keeping a list of household repairs so nothing is forgotten.,
231,Issue management,"The process of identifying, analyzing, and resolving project issues effectively.",Like fixing problems as they come up during home renovations.,
232,Iteration,"A development cycle in which a set of deliverables is created, reviewed, and improved.",Like editing a draft essay multiple times until it’s polished.,
